     15 the	Supreme	Court
      2 rivers	lklv	_00002407
      2 repeal	sot_00003518	jpg
      2 religious	freedom	laws
      2 read	SAM	YEH
      2 read	PETER	PARKS
      2 read	JOSH	EDELSON
      2 read	ARUN	SANKAR
      2 Reaction	Orig	Vstan
      2 rally	dnt_00011714	jpg
      2 quot	Vote	Yes
      2 quot	banner	in
      2 Queer	Eye	Van
      2 public	bathroom	controversy
      2 pro	gay	marriage
      2 Pride	parade	in
      2 pride	parade	in
      2 Pride	March	was
      2 Pride	March	on
      2 presence	and	the
      2 postal	vote	on
      2 police	presence	and
      2 police	after	gathering
      2 plan	for	a
      2 place	in	Asia
      2 placards	as	they
      2 PHOTO	SAM	YEH
      2 PHOTO	PETER	PARKS
      2 PHOTO	Josh	Edelson
      2 Photo	by	Chris
      2 Photo	by	ARUN
      2 PETER	PARKS	Photo
      2 PETER	PARKS	AFP
      2 people	were	arrested
      2 People	participate	in
      2 people	attempted	to
      2 paving	the	way
      2 pass	by	the
      2 participate	in	the
      2 participate	in	a
      2 parliament	in	Taipei
      2 PARKS	Photo	credit
      2 PARKS	AFP	Getty
      2 parade	in	San
      2 parade	in	Chennai
      2 over	religious	freedom
      2 outside	the	parliament
      2 Orig	Vstan	BDK_00001127
      2 Organisers	defied	the
      2 order	and	people
      2 one	of	the
      2 on	Thursday	Members
      2 on	the	issue
      2 on	June	24
      2 on	a	street
      2 offense	Supporters	in
      2 of	the	lesbian
      2 of	the	Equality
      2 of	the	country
      2 of	pro	gay
      2 of	India	the
      2 of	India	39
      2 of	CNN	Worldwide
      2 nws	orig_00002429	jpg
      2 north	carolina	roy
      2 North	Carolina	gender
      2 nick	valencia	lead
      2 Ness	Emmy	Reaction
      2 met	by	a
      2 mckellen	amanpour	gay
      2 McGrath	Getty	Images
      2 May	24	cheered
      2 May	24	2017
      2 marriage	supporters	in
      2 marriage	rivers	lklv
      2 marriage	hangs	on
      2 marriage	Crowds	of
      2 marriage	advocates	launched
      2 March	was	banned
      2 march	to	Taksim
      2 March	pass	by
      2 March	on	June
      2 lklv	_00002407	jpg
      2 LGBT	community	hold
      2 lesbian	gay	bisexual
      2 legalise	gay	marriage
      2 legal	action	in
      2 lead	dnt_00001926	jpg
      2 laws	nick	valencia
      2 laws	LGBT	Indians
      2 launched	legal	action
      2 landmark	decision	paving
      2 JUNE	25	A
      2 June	24	2018
      2 jpg	North	Carolina
      2 Josh	Edelson	Photo
      2 JOSH	EDELSON	AFP
      2 it	divisive	and
      2 Istanbul	Turkey	The
      2 ISTANBUL	TURKEY	JUNE
      2 issue	calling	it
      2 island	to	become
      2 is	arrested	by
      2 International	Edition	U
      2 Indian	supporters	of
      2 India	s	LGBT
      2 India	39	s
      2 in	the	San
      2 in	Taiwan	on
      2 in	Taipei	on
      2 in	Sydney	on
      2 in	San	Francisco
      2 in	Istanbul	Turkey
      2 in	favour	of
      2 in	Chennai	on
      2 in	Australia	39
      2 in	Asia	to
      2 in	a	pride
      2 Impact	Your	World
      2 ian	mckellen	amanpour
      2 hugged	and	wept
      2 hug	outside	the
      2 How	To	Watch
      2 hold	placards	as
      2 history	nws	orig_00002429
      2 highest	court	on
      2 heavy	police	presence
      2 harmful	AFP	PHOTO
      2 hangs	on	a
      2 group	of	petitioners
      2 government	plan	for
      2 gender	bathrooms	bill
      2 gay	rights_00052301	jpg
      2 gay	marriage	supporters
      2 gay	marriage	rivers
      2 gay	marriage	Crowds
      2 gay	laws	LGBT
      2 gay	bisexual	transgender
      2 gathering	to	support
      2 gas	and	several
      2 from	the	Supreme
      2 freedom	laws	nick
      2 Francisco	Pride	parade
      2 Francisco	California	on
      2 for	the	third
      2 for	the	island
      2 for	a	postal
      2 first	place	in
      2 favour	of	same
      2 Faces	of	CNN
      2 Eye	Van	Ness
      2 Español	Set	edition
      2 Equality	March	pass
      2 Emmy	Reaction	Orig
      2 Edition	U	S
      2 Edelson	Photo	credit
      2 EDELSON	AFP	Getty
      2 divisive	and	harmful
      2 dispersed	by	tear
      2 defied	the	order
      2 decisive	verdict	from
      2 decision	paving	the
      2 current	group	of
      2 Crowds	of	pro
      2 crowd	was	dispersed
      2 criminal	offense	Supporters
      2 court	ruled	in
      2 court	on	September
      2 Court	announcement	Crowds
      2 cooper	bathroom	bill
      2 controversy	history	nws
      2 controversial	government	plan
      2 consensual	gay	sex
      2 community	hold	placards
      2 Chris	McGrath	Getty
      2 china	gay	marriage
      2 Chennai	on	June
      2 cheered	hugged	and
      2 celebrate	the	landmark
      2 carolina	roy	cooper
      2 Carolina	gender	bathrooms
      2 calling	it	divisive
      2 California	on	June
      2 Cable	News	Network
      2 by	the	White
      2 by	tear	gas
      2 by	police	after
      2 by	Chris	McGrath
      2 by	authorities	for
      2 by	ARUN	SANKAR
      2 by	a	heavy
      2 but	were	met
      2 bisexual	transgender	LGBT
      2 bill	repeal	sot_00003518
      2 bill	pkg_00002112	jpg
      2 become	the	first
      2 BDK_00001127	Queer	Eye
      2 battle	over	religious
      2 bathrooms	bill	pkg_00002112
      2 bathroom	support	rally
      2 bathroom	controversy	history
      2 bathroom	bill	repeal
      2 banner	in	support
      2 banned	by	authorities
      2 authorities	for	the
      2 Australia	39	s
      2 Attendees	of	the
      2 attempted	to	march
      2 Asia	to	legalise
      2 as	they	participate
      2 as	they	celebrate
      2 as	a	top
      2 arrested	Photo	by
      2 arrested	by	police
      2 Arabic	Español	Set
      2 anti	LGBT	legislation
      2 announcement	Crowds	in
      2 and	wept	as
      2 and	the	crowd
      2 and	several	people
      2 and	people	attempted
      2 and	it	was
      2 and	harmful	AFP
      2 amanpour	gay	rights_00052301
      2 alternate	alternate	alternate
      2 against	a	controversial
      2 after	gathering	to
      2 AFP	PHOTO	SAM
      2 AFP	PHOTO	PETER
      2 AFP	PHOTO	Josh
      2 AFP	Photo	credit
      2 advocates	launched	legal
      2 activists	hug	outside
      2 action	in	Australia
      2 A	woman	is
      2 a	top	court
      2 a	street	in
      2 A	quot	Vote
      2 a	pride	parade
      2 a	postal	vote
      2 a	heavy	police
      2 a	controversial	government
      2 6	People	celebrate
      2 5	2017	Same
      2 5	2017	against
      2 39	s	LGBT
      2 39	s	highest
      2 377	Indian	LGBT
      2 25	A	woman
      2 25	2017	in
      2 25	2017	AFP
      2 24	cheered	hugged
      2 24	2018	Photo
      2 24	2017	as
      2 2018	Photo	by
      2 2018	Election	Results
      2 2017	Same	sex
      2 2017	LGBT	Pride
      2 2017	in	Istanbul
      2 2017	as	they
      2 2017	against	a
      2 2017	AFP	PHOTO
      2 1	U	S
      2 ____________________________________________________________	____________________________________________________________	____________________________________________________________
      2 ____________________	India	s
      1 Your	World	Inside
      1 Your	World	3
      1 you	can	start
      1 ylHBnPnMZj	Nikhil	Kumar
      1 years	of	determined
      1 years	of	anti
      1 years	hardline	Hindu
      1 year	when	the
      1 year	s	ruling
      1 year	lawmaker	Subramanian
      1 Yashwinder	Singh	of
      1 Xx8C13wEap	Anna	Isaac
      1 wrongly	on	the
      1 wrong	judgment	It
      1 would	allow	therapists
      1 Worldwide	CNNVR	vr_new_asset
      1 Worldwide	7	CNNVR
      1 WorldU	S	PoliticsBusinessEntertainmentSportTravelStyleHealthVideo
      1 World	Inside	Africa
      1 world	as	it
      1 World	3	Inside
      1 World	1	U
      1 Work	Transformed	Innovative
      1 Work	Transformed	6
      1 work	has	started
      1 won	Finally	we
      1 within	the	LGBT
      1 with	us	in
      1 with	us	About
      1 with	same	sex
      1 with	emotion	Section
      1 wiping	away	tears
      1 will	now	be
      1 will	create	a
      1 whose	case	the
      1 White	House	Equality
      1 White	House	Attendees
      1 while	they	had
      1 which	only	applied
      1 which	has	spearheaded
      1 which	declared	sexual
      1 where	you	can
      1 where	homosexuality	remains
      1 when	the	Supreme
      1 what	s	happening
      1 What	is	HB2
      1 What	a	historic
      1 Westcott	and	Swati
      1 were	registered	under
      1 Wellness	Parenting	Live
      1 Wellness	4	Parenting
      1 welcoming	the	progressive
      1 welcome	the	progressive
      1 Weather	CNN	Profiles
      1 Weather	2	CNN
      1 We	welcome	the
      1 We	join	the
      1 We	have	to
      1 we	have	it
      1 we	have	felt
      1 we	have	been
      1 WATCHED	India	s
      1 Watch	VR	Archives
      1 Watch	VR	2
      1 WATCH	17	Videos
      1 was	therefore	legally
      1 was	strengthened	last
      1 was	rarely	enforced
      1 was	quickly	overruled
      1 was	not	legal
      1 was	not	enough
      1 was	introduced	by
      1 was	beaten	and
      1 was	based	wrongly
      1 was	arrested	in
      1 was	a	wrong
      1 vr_new_asset	png	How
      1 vr_new_asset	png	1
      1 VR	Archives	More
      1 VR	2	Archives
      1 vote	on	same
      1 violation	of	his
      1 violated	fundamental	rights
      1 view	of	sexuality
      1 Videos	MUST	WATCH
      1 Videos	menu_style_new	png
      1 Videos	Indian	supporters
      1 Videos	1	menu_style_new
      1 Video	Video	news
      1 Video	news	Feature
      1 Video	news	2
      1 Video	menu_health	png
      1 Video	menu_entertainment	png
      1 Video	1	Video
      1 Video	1	menu_health
      1 Video	1	menu_entertainment
      1 victory	over	prejudice
      1 victory	for	India
      1 verdict	in	Delhi
      1 Uttar	Pradesh	The
      1 Use	Privacy	Policy
      1 us	in	Facebook
      1 us	CNN	Store
      1 us	About	us
      1 Upstarts	Work	Transformed
      1 Upstarts	5	Work
      1 uphold	the	constitutional
      1 Updated	1305	GMT
      1 up	to	the
      1 until	2014	Arif
      1 unsustainable	to	repeal
      1 unfolds	____________________	India
      1 under	the	law
      1 under	Section	377
      1 under	section	377
      1 unchanged	since	it
      1 UK	U	S
      1 UK	1	U
      1 U	S	logo_cnn_nav_bottom
      1 U	S	AfricaAmericasAsiaAustraliaChinaEuropeMiddle
      1 U	S	Africa
      1 U	S	2
      1 twitter	com	ylHBnPnMZj
      1 twitter	com	Xx8C13wEap
      1 twitter	com	Fh65vOn7h9
      1 TV	shows	TV
      1 TV	shows	5
      1 TV	schedule	Faces
      1 TV	schedule	6
      1 TV	____________________	Submit
      1 Turner	Broadcasting	System
      1 Turkish	police	ian
      1 Trust	provides	counseling
      1 Trust	Laws	getting
      1 Trump	on	SCOTUS
      1 trap	members	of
      1 transgenders	and	it
      1 transgender	student	battle
      1 transgender	persons	In
      1 Transformed	Innovative	Cities
      1 Transformed	6	Innovative
      1 Transcripts	License	Footage
      1 traditionally	maintained	a
      1 top	court	agrees
      1 told	CNN	The
      1 told	CNN	Indian
      1 toilets	have	divided
      1 to	vote	on
      1 to	uphold	the
      1 to	this	report
      1 to	the	judgment
      1 to	the	Delhi
      1 to	the	court
      1 to	the	broader
      1 to	start	looking
      1 to	privacy	The
      1 to	people	and
      1 to	overturn	Section
      1 to	national	security
      1 to	moves	to
      1 to	marry	the
      1 to	Lucas	Mendos
      1 to	legalizing	gay
      1 to	inherit	Things
      1 to	India	s
      1 to	go	and
      1 to	gay	and
      1 to	deny	LGBT
      1 to	be	an
      1 to	argue	he
      1 to	and	should
      1 to	adopt	the
      1 to	a	certain
      1 time	toilets	have
      1 Thursday	The	constant
      1 Thursday	the	Congress
      1 Thursday	s	historic
      1 Thursday	Our	work
      1 Thursday	as	jubilant
      1 Though	the	law
      1 this	year	lawmaker
      1 this	report	____________________
      1 this	is	the
      1 this	country	said
      1 Things	that	no
      1 thing	but	changing
      1 they	had	anticipated
      1 they	accept	every
      1 therefore	legally	unsustainable
      1 There	was	not
      1 There	is	not
      1 There	is	no
      1 there	for	the
      1 therapists	to	deny
      1 their	victory	over
      1 their	mindset	so
      1 the	world	as
      1 the	tenets	of
      1 the	society	is
      1 the	run	up
      1 The	ruling	which
      1 the	ruling	Bharatiya
      1 The	right	that
      1 the	result	still
      1 the	progressive	decisive
      1 the	progressive	and
      1 the	people	of
      1 the	original	colonial
      1 the	original	British
      1 the	order	of
      1 the	northern	state
      1 The	next	step
      1 the	Naz	Foundation
      1 The	long	battle
      1 the	LGBTQIA	community
      1 the	legalization	of
      1 the	lawyers	representing
      1 the	law	was
      1 the	law	is
      1 the	law	in
      1 the	law	didn
      1 the	latest	hearings
      1 the	landmark	verdict
      1 the	judgment	the
      1 The	Humsafar	Trust
      1 The	group	named
      1 the	first	time
      1 the	fight	against
      1 the	experience	as
      1 the	estimated	48
      1 the	Delhi	region
      1 the	Delhi	High
      1 The	decision	which
      1 The	decision	to
      1 the	decision	activists
      1 the	culmination	of
      1 the	court	s
      1 the	court	Read
      1 the	court	Dehumanizing
      1 The	court	announced
      1 the	country	should
      1 the	country	Section377
      1 the	constitutional	right
      1 the	constitutional	basis
      1 the	constitution	said
      1 The	constant	fear
      1 the	Congress	Party
      1 the	coming	generation
      1 the	closet	it
      1 the	case	of
      1 the	broader	issue
      1 the	BJP	refrained
      1 the	beginning	of
      1 the	ban	on
      1 the	announcement	Thursday
      1 the	act	During
      1 the	2017	International
      1 the	2013	judgment
      1 the	1860s	According
      1 that	while	they
      1 that	they	accept
      1 that	the	law
      1 that	the	ban
      1 that	penalized	intercourse
      1 that	only	a
      1 that	no	one
      1 that	it	helped
      1 that	he	was
      1 that	every	citizen
      1 that	earlier	ruling
      1 that	criminalize	homosexuality
      1 That	case	was
      1 that	are	clearly
      1 than	a	dozen
      1 than	2	100
      1 than	150	years
      1 Terms	of	Use
      1 Tennis	Equestrian	Golf
      1 Tennis	3	Equestrian
      1 Tenn	bill	would
      1 tenets	of	the
      1 tell	of	brutality
      1 Tech	Media	Success
      1 Tech	Innovate	Gadget
      1 Tech	3	Media
      1 Tech	1	Innovate
      1 tears	outside	the
      1 talk	to	people
      1 taking	a	public
      1 taken	for	granted
      1 taken	a	more
      1 Taiwan	moves	closer
      1 taboo	In	2009
      1 t	only	trap
      1 t	even	explain
      1 System	Inc	All
      1 Swati	Gupta	contributed
      1 Swamy	a	prominent
      1 Suri	CNN	Updated
      1 Supreme	Court	said
      1 Supreme	Court	ruled
      1 Supreme	Court	moved
      1 Supreme	Court	in
      1 Supreme	Court	hope
      1 Supreme	Court	As
      1 Supreme	Court	4
      1 Supreme	Court	2018
      1 supporters	celebrate	the
      1 supporters	after	years
      1 support	of	transgender
      1 support	group	in
      1 support	earlier	but
      1 support	and	sexual
      1 Success	Perspectives	Video
      1 Success	5	Perspectives
      1 Subramanian	Swamy	a
      1 Submit	Search	International
      1 Submit	Confirm	U
      1 Submit	Confirm	International
      1 Submit	Confirm	Home
      1 Submit	Confirm	FacebookTwitterInstagram
      1 Submit	1	Home
      1 student	battle	over
      1 struggle	Crowds	in
      1 struck	down	a
      1 strengthened	last	year
      1 Store	Newsletters	Transcripts
      1 still	have	laws
      1 still	came	as
      1 step	is	to
      1 Stay	Videos	menu_style_new
      1 Stay	5	Videos
      1 Statement	Advertise	with
      1 State	Sponsored	Homophobia
      1 state	of	Uttar
      1 started	multifold	now
      1 start	looking	at
      1 start	expecting	justice
      1 Stars	Screen	Binge
      1 Stars	2	Screen
      1 star	s	emotional
      1 stand	deferring	instead
      1 Sport	Football	Tennis
      1 Sport	1	Football
      1 Sponsored	Homophobia	report
      1 spent	49	days
      1 spearheaded	the	fight
      1 space	of	freedom
      1 sot_00003518	jpg	North
      1 sot_00003518	jpg	north
      1 society	support	earlier
      1 society	Section377	pic
      1 society	is	a
      1 social	media	welcoming
      1 so	that	they
      1 Skiing	Horse	Racing
      1 Skiing	6	Horse
      1 sites	Work	for
      1 sites	6	Work
      1 Singh	of	the
      1 Singh	of	Mumbai
      1 since	it	was
      1 shows	TV	schedule
      1 shows	HLN	TV
      1 shows	5	TV
      1 shows	3	HLN
      1 should	not	be
      1 should	have	access
      1 shock	India	s
      1 shifting	focus	to
      1 Sheikh	a	law
      1 sexuality	However	in
      1 sexuality	Campaigners	in
      1 sexual	orientation	to
      1 sexual	health	services
      1 sex	violated	fundamental
      1 sex	Replay	More
      1 sex	People	participate
      1 sex	overturning	more
      1 sex	marriage	transgender
      1 sex	marriage	lawsuit
      1 sex	marriage	ISTANBUL
      1 sex	JUST	WATCHED
      1 sex	India	s
      1 sex	in	landmark
      1 sex	couple	Queer
      1 sex	as	a
      1 services	to	gay
      1 September	6	The
      1 separate	database	of
      1 sentence	of	life
      1 seen	as	criminals
      1 security	and	against
      1 Section377Verdict	pic	twitter
      1 section	of	citizens
      1 section	377	until
      1 Section	377	told
      1 Section	377	Long
      1 Section	377	had
      1 Section	377	and
      1 Section	377	an
      1 Search	International	Edition
      1 Screen	Binge	Culture
      1 Screen	3	Binge
      1 SCOTUS	I	m
      1 School	and	LGBT
      1 schedule	Faces	of
      1 schedule	6	Faces
      1 Sans	2016	Cable
      1 same	sex	couple
      1 Sailing	Rugby	menu_travel
      1 Sailing	9	Rugby
      1 said	Yashwinder	Singh
      1 said	that	while
      1 said	that	only
      1 said	Singh	of
      1 said	rights	campaigner
      1 said	Gonsalves	There
      1 said	Colin	Gonsalves
      1 said	Bismaya	Kumar
      1 s	Supreme	Court
      1 s	ruling	eviscerated
      1 s	population	constitute
      1 S	PoliticsBusinessEntertainmentSportTravelStyleHealthVideo	Live
      1 S	Politics	45
      1 S	Politics	1
      1 s	not	the
      1 s	National	Record
      1 s	main	opposition
      1 S	logo_cnn_nav_bottom	png
      1 s	LGBT	activists
      1 s	historic	ruling
      1 s	happening	in
      1 s	emotional	Emmy
      1 s	decision	Thursday
      1 s	Ben	Westcott
      1 s	been	a
      1 s	an	emotional
      1 S	AfricaAmericasAsiaAustraliaChinaEuropeMiddle	EastUK
      1 S	Africa	Americas
      1 s	a	mix
      1 S	2	Africa
      1 runs	an	informal
      1 run	up	to
      1 ruling	which	declared
      1 ruling	the	Supreme
      1 ruling	LGBT	Indians
      1 ruling	is	the
      1 ruling	eviscerated	the
      1 ruling	By	Manveena
      1 ruling	Bharatiya	Janata
      1 ruled	that	the
      1 ruled	on	was
      1 rule	that	penalized
      1 Rugby	menu_travel	png
      1 Rugby	1	menu_travel
      1 Rituparna	Borah	There
      1 rights_00052301	jpg	Ian
      1 rights_00052301	jpg	ian
      1 rights	The	decision
      1 rights	Same	sex
      1 rights	Right	now
      1 Rights	Reserved	CNN
      1 rights	He	also
      1 rights	group	The
      1 rights	campaigner	Rituparna
      1 rights	activists	hugged
      1 right	to	privacy
      1 right	to	marry
      1 right	to	inherit
      1 right	to	adopt
      1 right	that	every
      1 right	now	The
      1 Right	now	it
      1 Results	Business	Markets
      1 Results	1	Business
      1 result	still	came
      1 rested	predominately	on
      1 Reserved	CNN	Sans
      1 repression	within	the
      1 representing	the	current
      1 representing	more	than
      1 report	In	the
      1 report	____________________	____________________
      1 Replay	More	Videos
      1 repeals	bathroom	law
      1 repeal	the	law
      1 repeal	the	act
      1 remains	taboo	In
      1 remained	in	place
      1 religious	and	moral
      1 registered	under	the
      1 region	was	quickly
      1 refrained	from	taking
      1 Record	Bureau	more
      1 recognized	by	this
      1 recent	years	hardline
      1 Read	More	Others
      1 reaction	A	quot
      1 Raula	wiping	away
      1 rarely	enforced	in
      1 rallies	in	support
      1 Racing	Motorsport	Sailing
      1 Racing	7	Motorsport
      1 quickly	overruled	by
      1 questions	and	that
      1 questioned	the	constitutional
      1 Queer	Eye	star
      1 Quantcast		
      1 push	for	progress
      1 publisher	alternate	____________________________________________________________
      1 public	stand	deferring
      1 providing	a	cover
      1 provides	counseling	support
      1 prosecution	under	section
      1 prominent	member	of
      1 Project	Impact	Your
      1 Project	2	Impact
      1 progressive	decisive	verdict
      1 progressive	and	decisive
      1 progress	on	LGBT
      1 Profiles	Leadership	Pressroom
      1 Profiles	3	Leadership
      1 professor	at	Jindal
      1 privacy	The	ruling
      1 Privacy	Policy	Accessibility
      1 privacy	helped	galvanize
      1 pride	parade	obstructed
      1 Pride	Month	ESPN
      1 Pressroom	Partner	sites
      1 Pressroom	5	Partner
      1 prescriptive	view	of
      1 prejudice	We	welcome
      1 predominately	on	religious
      1 Pradesh	The	group
      1 posted	a	message
      1 positive	outcome	the
      1 population	constitute	lesbians
      1 PoliticsBusinessEntertainmentSportTravelStyleHealthVideo	Live	TV
      1 Politics	45	Congress
      1 Politics	1	45
      1 Policy	Accessibility	CC
      1 police	ian	mckellen
      1 pointed	out	that
      1 png	U	S
      1 png	Stars	Screen
      1 png	International	logo_cnn_espaniol
      1 png	How	To
      1 png	Food	Fitness
      1 png	Español	logo_cnn_arabic
      1 png	Destinations	Food
      1 png	Arts	Design
      1 png	Arabic	Set
      1 png	1	Stars
      1 png	1	How
      1 png	1	Food
      1 png	1	Destinations
      1 png	1	Arts
      1 Play	Stay	Videos
      1 Play	4	Stay
      1 place	more	or
      1 pkg_00002112	jpg	What
      1 pkg_00002112	jpg	North
      1 petitioners	whose	case
      1 petitioners	That	case
      1 petition	launched	by
      1 petition	Jafar	described
      1 Perspectives	Video	menu_entertainment
      1 Perspectives	6	Video
      1 persons	In	his
      1 perpetuate	a	culture
      1 People	will	not
      1 people	of	India
      1 people	and	change
      1 penalized	intercourse	against
      1 patients	china	gay
      1 passed	is	one
      1 Party	the	country
      1 Party	BJP	described
      1 Partner	sites	Work
      1 Partner	sites	6
      1 Parenting	Live	Longer
      1 Parenting	5	Live
      1 parade	obstructed	by
      1 overturning	more	than
      1 overturn	Section	377
      1 overruled	by	the
      1 overcome	with	emotion
      1 over	prejudice	We
      1 outside	the	court
      1 outcome	the	result
      1 out	what	s
      1 out	that	the
      1 Out	of	the
      1 out	and	being
      1 Our	work	has
      1 Others	gathered	said
      1 other	forms	of
      1 original	colonial	anti
      1 original	British	law
      1 orig_00002429	jpg	public
      1 orig_00002429	jpg	It
      1 orientation	to	be
      1 order	of	nature
      1 or	transgenders	and
      1 or	society	support
      1 or	less	unchanged
      1 Opposition	to	moves
      1 opposition	posted	a
      1 only	trap	members
      1 only	applied	to
      1 only	a	minuscule
      1 one	We	join
      1 one	thing	but
      1 one	questions	and
      1 one	another	overcome
      1 on	was	arrested
      1 on	Thursday	The
      1 on	Thursday	as
      1 on	the	tenets
      1 on	the	original
      1 on	social	media
      1 on	SCOTUS	I
      1 on	same	sex
      1 on	religious	and
      1 on	LGBT	rights
      1 on	consensual	gay
      1 on	coming	out
      1 often	fraught	legal
      1 offense	Jafar	now
      1 of	Uttar	Pradesh
      1 of	Use	Privacy
      1 of	transgender	student
      1 of	the	ruling
      1 of	the	Naz
      1 of	the	LGBT
      1 of	the	lawyers
      1 of	the	estimated
      1 of	the	current
      1 of	the	court
      1 of	the	constitution
      1 of	the	2017
      1 of	that	earlier
      1 of	sexuality	However
      1 of	rights	Right
      1 of	prosecution	under
      1 of	privacy	helped
      1 of	petitioners	whose
      1 of	petitioners	That
      1 of	nature	had
      1 of	Mumbai	based
      1 of	life	imprisonment
      1 of	India	s
      1 of	his	sexuality
      1 of	his	fundamental
      1 of	gay	sex
      1 of	freedom	where
      1 of	feelings	it
      1 of	fear	and
      1 of	equality	People
      1 of	discrimination	providing
      1 of	determined	struggle
      1 of	congratulations	on
      1 of	citizens	CNN
      1 of	Christian	Hindu
      1 of	brutality	in
      1 of	anti	LGBT
      1 of	a	more
      1 of	a	lengthy
      1 of	377	we
      1 obstructed	by	Turkish
      1 objections	In	an
      1 now	We	have
      1 now	There	is
      1 now	The	long
      1 now	runs	an
      1 now	People	will
      1 now	it	is
      1 now	be	shifting
      1 not	the	first
      1 not	much	left
      1 not	maintain	a
      1 not	legal	and
      1 not	enough	media
      1 not	be	there
      1 not	be	taken
      1 not	be	seen
      1 northern	state	of
