     17 2016	04	12
      1 的憧憬走入婚姻时	绝大多数人并不清楚自己老公的真实性倾向	也有些丈夫本人也不能肯定或承认自己的同性性倾向
      1 的只有他们的妻子	作为男同性恋者	这是极其自私的选择
      1 登录	第三方登录	QQ
      1 登录	注册	下载豆瓣客户端
      1 登录	或	注册
      1 男大当婚	女大当嫁	是千百年来中国人的正统思想
      1 男同性恋为了掩盖自己同性恋的行径而与异性结婚	受到伤害	的只有他们的妻子
      1 电影	音乐	同城
      1 生活	科技	搜索
      1 理疾病	父亲扬言要打死他	不过他也没有放弃自己的男友
      1 现在他身边一开始知道他是同性恋而投来的异样目光已经少了很多了	并且还多了很多支持的声音	最后我不歧视gay
      1 父亲扬言要打死他	不过他也没有放弃自己的男友	还一直在努力劝说自己的父母
      1 注册	登录	第三方登录
      1 注册	下载豆瓣客户端	豆瓣
      1 注册	________________________________________________________________	________________________________________________________________
      1 民国到底是一个什么样的时代呀	钉宫理惠	这个时间了
      1 每次一出现同妻的悲剧	就会有人说这都是因为我郭不允许同性恋婚姻合法化	为什么会出现同妻
      1 母亲认为他有心	理疾病	父亲扬言要打死他
      1 正常的姑娘	他说劝服父母接受自己和男友是一条很漫长的道路	不过他会一直一直走下去
      1 正常女人过正常生活掩饰我是个gay的事实	我觉得这两条评论说的挺好的	我身边也有gay好友
      1 来自	黝黑蜗壳	2016
      1 来自	豆瓣App	赞
      1 来自	豆瓣App	艾瑞克
      1 来自	豆瓣App	童音
      1 来自	豆瓣App	日向宁次
      1 来自	豆瓣App	你的回应
      1 最赞回应	双眼睛大眼皮	双眼睛大眼皮
      1 最新讨论	更多	超级喜欢杨采钰的气质耶
      1 最后我不歧视gay	我甚至还期待中国可以早日摆脱传统观念	给gay们一个自由平等没有异样目光的生活环境
      1 更多	超级喜欢杨采钰的气质耶	亦吻
      1 更多	豆瓣摄影	豆瓣小组
      1 暖苏	暖苏	我再等你七年
      1 暖苏	我再等你七年	2016
      1 是千百年来中国人的正统思想	同性恋者概莫能外	男同性恋为了掩盖自己同性恋的行径而与异性结婚
      1 时间	豆品	更多
      1 时尚	生活	科技
      1 日向宁次	笼中鸟	2016
      1 日向宁次	日向宁次	笼中鸟
      1 新浪微博		
      1 文化	行摄	娱乐
      1 改元狂魔	民国到底是一个什么样的时代呀	钉宫理惠
      1 收藏	只看楼主	最赞回应
      1 搜索	小组	话题
      1 搜索	如果同性恋婚姻合法化了	同妻就没有了
      1 推荐到广播	580e4e9f613dd6d	jpg
      1 承欢	承欢	我若自爱
      1 承欢	我若自爱	人恒爱之
      1 扫码直接下载	iPhone	Android
      1 所以我得找个	正常女人过正常生活掩饰我是个gay的事实	我觉得这两条评论说的挺好的
      1 或	注册	________________________________________________________________
      1 我身边也有gay好友	他的父母是普通的农民	可以说是在心里上最难以接受同性恋这个观念的那一批人
      1 我觉得这两条评论说的挺好的	我身边也有gay好友	他的父母是普通的农民
      1 我若自爱	人恒爱之	2016
      1 我甚至还期待中国可以早日摆脱传统观念	给gay们一个自由平等没有异样目光的生活环境	我只是恶心那些同性恋里为了减轻自己压力
      1 我只是恶心那些同性恋里为了减轻自己压力	就去骗婚的loser	这种人就该下十八层地狱
      1 我再等你七年	2016	04
      1 我也不能违抗父母让父母后继无人	所以我得找个	正常女人过正常生活掩饰我是个gay的事实
      1 我不能让别人发现我是个gay	我也不能违抗父母让父母后继无人	所以我得找个
      1 惹尘	惹尘	一蓑烟雨任平生
      1 惹尘	一蓑烟雨任平生	2016
      1 想骗婚的还是骗婚	回应	赞
      1 怕丢脸	认为是变态	不能接受这个事实
      1 微信公众号	鹅组小黄鸭	2016
      1 很多人没办法出柜吧	家庭	社会的影响
      1 当同妻们怀着美好	的憧憬走入婚姻时	绝大多数人并不清楚自己老公的真实性倾向
      1 并且还多了很多支持的声音	最后我不歧视gay	我甚至还期待中国可以早日摆脱传统观念
      1 并与之交流	注册	登录
      1 帮助中心	移动应用	豆瓣广告
      1 就去骗婚的loser	这种人就该下十八层地狱	来自
      1 就像埋了一颗定时炸弹	稍有不慎	就会炸毁现有的一切平静
      1 就会炸毁现有的一切平静	假如同性恋婚姻合法化	那些会骗婚的gay依然会骗婚
      1 就会有人说这都是因为我郭不允许同性恋婚姻合法化	为什么会出现同妻	男大当婚
      1 小黄鸭	微信公众号	鹅组小黄鸭
      1 小黄鸭	小黄鸭	微信公众号
      1 小组	阅读	FM
      1 小组	话题	______________________
      1 家庭	社会的影响	回应
      1 娱乐	时尚	生活
      1 如果同性恋婚姻合法化了	同妻就没有了	黝黑蜗壳
      1 她们却找不	到不幸的根源在哪里	而两个性取向迥异的人组成的婚姻
      1 女大当嫁	是千百年来中国人的正统思想	同性恋者概莫能外
      1 大部分同妻的存在还是因为男方家里不能接受或者无法面对儿子是个同性恋	怕丢脸	认为是变态
      1 在这里发现跟你一样特别的人	并与之交流	注册
      1 在豆瓣工作	联系我们	免责声明
      1 因为在他们眼里	我不能让别人发现我是个gay	我也不能违抗父母让父母后继无人
      1 回顶部	IFRAME	about
      1 回应请先	登录	或
      1 回应	转发	赞
      1 同性恋者概莫能外	男同性恋为了掩盖自己同性恋的行径而与异性结婚	受到伤害
      1 同妻就没有了	黝黑蜗壳	来自
      1 同妻们的危机与痛苦便从那场婚礼开始	当同妻们怀着美好	的憧憬走入婚姻时
      1 同城	小组	阅读
      1 合法了也会有很多人不敢跟家人出柜	回应	赞
      1 可以说是在心里上最难以接受同性恋这个观念的那一批人	他在向父母坦白了自己的性向之后	母亲认为他有心
      1 只看楼主	最赞回应	双眼睛大眼皮
      1 受到伤害	的只有他们的妻子	作为男同性恋者
      1 发送	_	推荐到广播
      1 北京豆网科技有限公司	关于豆瓣	在豆瓣工作
      1 加入小组后即可参加投票	确定	回应
      1 加入小组	最新讨论	更多
      1 到不幸的根源在哪里	而两个性取向迥异的人组成的婚姻	就像埋了一颗定时炸弹
      1 删除	艾瑞克	艾瑞克
      1 删除	童音	童音
      1 删除	暖苏	暖苏
      1 删除	承欢	承欢
      1 删除	惹尘	惹尘
      1 删除	小黄鸭	小黄鸭
      1 删除	双眼睛大眼皮	双眼睛大眼皮
      1 删除	你搵我唔到	你搵我唔到
      1 则是永远都无法忘却的伤痛	同妻们的危机与痛苦便从那场婚礼开始	当同妻们怀着美好
      1 关于豆瓣	在豆瓣工作	联系我们
      1 全新发布	豆瓣	扫码直接下载
      1 免责声明	帮助中心	移动应用
      1 假如同性恋婚姻合法化	那些会骗婚的gay依然会骗婚	因为在他们眼里
      1 你的回应	回应请先	登录
      1 你搵我唔到	你搵我唔到	2016
      1 你搵我唔到	2016	04
      1 你为什么不睡觉	acaaaaaaat	2005
      1 作为男同性恋者	这是极其自私的选择	作为同妻
      1 作为同妻	则是永远都无法忘却的伤痛	同妻们的危机与痛苦便从那场婚礼开始
      1 他说劝服父母接受自己和男友是一条很漫长的道路	不过他会一直一直走下去	现在他身边一开始知道他是同性恋而投来的异样目光已经少了很多了
      1 他的父母是普通的农民	可以说是在心里上最难以接受同性恋这个观念的那一批人	他在向父母坦白了自己的性向之后
      1 他在向父母坦白了自己的性向之后	母亲认为他有心	理疾病
      1 人聚集在这个小组	加入小组	最新讨论
      1 人恒爱之	2016	04
      1 亮点在备注	改元狂魔	民国到底是一个什么样的时代呀
      1 亦吻	糖糖作为两个孩子的妈妈	身材还是那么好
      1 也有些丈夫本人也不能肯定或承认自己的同性性倾向	不幸的婚姻时时折磨着她们	她们却找不
      1 主要还是思想的问题吧	合法了也会有很多人不敢跟家人出柜	回应
      1 为什么会出现同妻	男大当婚	女大当嫁
      1 不过他会一直一直走下去	现在他身边一开始知道他是同性恋而投来的异样目光已经少了很多了	并且还多了很多支持的声音
      1 不过他也没有放弃自己的男友	还一直在努力劝说自己的父母	不接受父母非要给他定亲的安排
      1 不能接受这个事实	而不在于同性恋是不是合法的	回应
      1 不接受父母非要给他定亲的安排	说绝对不会因为自己的取向去坑害	正常的姑娘
      1 不幸的婚姻时时折磨着她们	她们却找不	到不幸的根源在哪里
      1 不啊	主要还是思想的问题吧	合法了也会有很多人不敢跟家人出柜
      1 不可能杜绝	回应	赞
      1 不会	很多人没办法出柜吧	家庭
      1 下载豆瓣客户端	豆瓣	6
      1 一蓑烟雨任平生	2016	04
      1 rights	reserved	北京豆网科技有限公司
      1 reserved	北京豆网科技有限公司	关于豆瓣
      1 QQ	新浪微博	
      1 jpg	豆瓣鹅组	598826
      1 iPhone	Android	豆瓣
      1 IFRAME	about	blank
      1 FM	时间	豆品
      1 douban	com	all
      1 com	all	rights
      1 blank	在这里发现跟你一样特别的人	并与之交流
      1 Android	豆瓣	读书
      1 all	rights	reserved
      1 acaaaaaaat	陈的母亲出来回应了	亮点在备注
      1 acaaaaaaat	2005	2019
      1 about	blank	在这里发现跟你一样特别的人
      1 6	0	全新发布
      1 598826	人聚集在这个小组	加入小组
      1 580e4e9f613dd6d	jpg	豆瓣鹅组
      1 54	不会	很多人没办法出柜吧
      1 48	34	不啊
      1 43	07	大部分同妻的存在还是因为男方家里不能接受或者无法面对儿子是个同性恋
      1 41	30	不可能杜绝
      1 37	想骗婚的还是骗婚	回应
      1 34	不啊	主要还是思想的问题吧
      1 30	不可能杜绝	回应
      1 29	54	不会
      1 28	37	想骗婚的还是骗婚
      1 26	回应	赞
      1 23	每次一出现同妻的悲剧	就会有人说这都是因为我郭不允许同性恋婚姻合法化
      1 21	26	回应
      1 21	23	每次一出现同妻的悲剧
      1 2019	douban	com
      1 2005	2019	douban
      1 19	48	34
      1 19	43	07
      1 19	41	30
      1 19	29	54
      1 19	28	37
      1 19	21	26
      1 19	21	23
      1 12	19	48
      1 12	19	43
      1 12	19	41
      1 12	19	28
      1 07	大部分同妻的存在还是因为男方家里不能接受或者无法面对儿子是个同性恋	怕丢脸
      1 0	全新发布	豆瓣
      1 ________________________________________________________________	________________________________________________________________	____________________
      1 ________________________________________________________________	____________________	发送
      1 ______________________	搜索	如果同性恋婚姻合法化了
      1 ____________________	发送	_
      1 _	推荐到广播	580e4e9f613dd6d
