      3 人倫悲劇男以電線勒斃母	供稱仿電視情節
      1 面對中國雖受挫折	台灣不能放棄
      1 非常可能與中國達成貿易協議	研究
      1 非常可能與中國達成貿易協議	沃旭能源停止執行合約
      1 靜待中長線買點	長天21日起停牌
      1 霸王別姬掀懷舊片熱潮	林青霞滾滾紅塵接棒
      1 電信3雄互別苗頭	雙贏彩第108017期
      1 電信3雄互別苗頭	600元有找吃到飽資費戰
      1 離岸風電卡關始末	白宮經濟顧問
      1 雙贏彩第108017期開獎	今彩539第108017期開獎
      1 雙贏彩第108017期	頭獎摃龜
      1 陸委會	推進既有合作
      1 陳景峻替何志偉站台	助選民進黨候選人
      1 陳昱婷	核稿
      1 陳文文用心看得見	管理城隍廟
      1 陳文文用心看得見	印度旅遊市場大
      1 陳偉殷關懷動物保育	娛樂
      1 陳佩萱吳芳嫺奪亞軍	合庫林加祐不會完全退下
      1 陝西官場持續地震	副省長陳國強被帶走
      1 關於中央社企業識別公開資訊	產品與服務聯絡資訊設置條例摘要隱私權聲明
      1 開普敦桌山纜車遊客	突破280萬名
      1 門戶是敞開的	西門子和阿爾斯通合併案
      1 長榮航空機長攜一肉包入境遭罰20萬	當場繳清
      1 長天21日起停牌	改善內控問題
      1 金馬獎看華語電影史	跟著15部片重返那些年
      1 金馬55	聽聽入圍者的故事
      1 重點新聞	蔡總統
      1 重返美台斷交那一夜	測測你會是什麼人
      1 違法陸資干擾運作	籲主管機關嚴懲
      1 違反停火協定次數創新高	聯合國籲印巴對話
      1 達六四以來最嚴重	解救表叔表哥
      1 運動	澳網選手盡情揮拍
      1 運動	娛樂
      1 運動	台灣女子高球公開賽
      1 遊戲產業盼來復甦春燕	台北電玩展
      1 遊戲產業盼來復甦春燕	主導CPTPP
      1 這樣回上一頁	手指從螢幕左側邊緣往右滑
      1 身分之謎30年未破解	熱愛惡作劇
      1 跟著15部片重返那些年	金馬55
      1 趙怡翔	嘉惠國家整體
      1 質詢韓國瑜臉書遭嗆聲	議員簡煥宗喊告
      1 谷底翻身	愛沙尼亞E化立國
      1 讓孩子知道並不孤獨	陳景峻替何志偉站台
      1 議員簡煥宗喊告	王令麟聲請暫時解境赴韓
      1 譯者	陳昱婷
      1 警方估50萬人參加	兩岸
      1 證券	科技
      1 證券	神準新廠上半年動工
      1 諷刺作品多不勝數	英塗鴉大師班克西
      1 請回答1978	重返美台斷交那一夜
      1 談同性婚姻修法	總統盼推出多數人可接受方案
      1 訊息平台	即時
      1 訊息平台	Focus
      1 訂閱中央社國際新聞電子報	第一手掌握世界最新脈動
      1 訂閱中央社國際新聞電子報	____________________訂閱
      1 解救表叔表哥	中國教長要為老師減負
      1 西門子和阿爾斯通合併案	傳將遭歐盟否決
      1 被控廣告毀損對手名譽	蝦皮獲不起訴
      1 被問到是否會推動這項議題時表示	政府
      1 衝突前哨寧靜抵抗	班克西開圍牆飯店
      1 衝突前哨寧靜抵抗	為錄提琴獨特音色
      1 街頭超能對決	臺旅法
      1 街頭超能對決	威尼斯七月起
      1 血小板萌音現聲動漫節	寒假開始
      1 蝦皮獲不起訴	屏東縣議員當選人林采穎涉賄
      1 蘇貞昌號召相挺台灣動畫片貓影特工	繼愛奇藝之後
      1 蘇貞昌網路聲量翻紅	幕後操刀型男大叔曝光
      1 藉科技複製分身	驚悚片異裂
      1 蔣淯安末節領軍	台啤擊退台銀
      1 蔡總統讚揚	MeToo運動
      1 蔡總統說	同婚釋憲是改革的
      1 蔡總統今天接受法新社專訪	被問到是否會推動這項議題時表示
      1 蔡總統	面對中國雖受挫折
      1 蔡總統	不同世代
      1 蔡佩穎暫居第3	日本桌球界大功臣
      1 蔡佩穎暫居第3	台灣女子高球公開賽
      1 華爾街開盤漲升	大同
      1 華為和iPhone同在中國製造	安全性大不同
      1 華為三星強打大螢幕	搶農曆新年換機潮
      1 英塗鴉大師班克西神出鬼沒	諷刺作品多不勝數
      1 英塗鴉大師班克西	身分之謎30年未破解
      1 若逾	期未完成修法
      1 舉辦慶祝農曆新年活動	姜建銘爆米花冠軍賽當英雄
      1 臺旅法	趙怡翔
      1 臺攻高所得客群	驚悚片
      1 自恐龍時代至今	小行星撞地球頻率增加
      1 自剖遭性別歧視經歷	蔡總統讚揚
      1 能源局	正常商業模式
      1 胡宇威喊破5億元再上轎炸一次	工作細胞寓教於樂
      1 聽聽入圍者的故事	美國期中選舉
      1 聯合國籲印巴對話	油管大爆炸已釀66死
      1 聚焦	政治
      1 義大利名琴故鄉進入靜音模式	英塗鴉大師班克西神出鬼沒
      1 美股連4漲	美中貿易戰緩解有望
      1 美股聚焦企業財報	靜待中長線買點
      1 美國期中選舉	川普期中考成績得幾分
      1 美中貿易談判有進展沒突破	台爭取加入CPTPP
      1 美中貿易戰緩解有望	歐股勁揚
      1 美中可能達成貿易協議	華爾街開盤漲升
      1 繼愛奇藝之後	優酷宣布全站關閉播放量顯示
      1 總統蔡英文今天接受法新社專訪時	對於政府是否會積極推動快速修法
      1 總統盼推出多數人可接受方案	延伸閱讀
      1 經濟壓力心空虛	港麥難民增
      1 經濟不夠強就雪上加霜	外國人歸化台灣籍
      1 粉絲如癡如醉	玻利維亞高地平原兩巴士迎面對撞
      1 粉絲如癡如醉	台灣小提琴神童曼谷演出
      1 籲主管機關嚴懲	科技
      1 籌拍11年寒假躍大銀幕	貓影特工拳腳護市民
      1 籌拍11年寒假躍大銀幕	寒單回台東催票房
      1 第一手掌握世界最新脈動	____________________訂閱
      1 突破280萬名	印度反總理大型集會
      1 移工遭軟禁施虐	沾血衛生紙窗口求救
      1 科技	生活
      1 科技	人造衛星夜空打廣告
      1 福原愛挺大肚獲獎	16強對戰小威
      1 社會	地方
      1 社會	人倫悲劇男以電線勒斃母
      1 看更多產品	關於中央社企業識別公開資訊
      1 盼締結姐妹市	澎湖與夏威夷加強交流
      1 盼締結姐妹市	夜宿育幼院送暖
      1 盼各國支持	旅客違規攜帶肉品
      1 白宮經濟顧問	美中貿易談判有進展沒突破
      1 當教練複雜選手好玩	帶兩隻流浪狗去美國
      1 當您關閉此視窗	代表您同意上述規範
      1 當場繳清	大福彩第108006期開獎
      1 異裂	街頭超能對決
      1 產經	證券
      1 產經	台北電玩展
      1 產品與服務聯絡資訊設置條例摘要隱私權聲明	客服專線
      1 生活	社會
      1 生活	春節連假出勤
      1 生活	600元有找吃到飽資費戰
      1 球后哈勒普有迎接苦戰準備	蔣淯安末節領軍
      1 班克西還整過大英博物館和羅浮宮	朝聖班克西
      1 王令麟聲請暫時解境赴韓	二審駁回確定
      1 獲全球商機逾55億元	證券
      1 特派看世界	影音
      1 熱愛惡作劇	班克西還整過大英博物館和羅浮宮
      1 為錄提琴獨特音色	義大利名琴故鄉進入靜音模式
      1 演藝生涯長達70年	我愛紅娘女星卡洛香寧辭世
      1 港麥難民增	中國狗明星
      1 測測你會是什麼人	2018九合一選舉
      1 涉嫌以電線勒斃母親	質詢韓國瑜臉書遭嗆聲
      1 法新社提供	總統蔡英文25日接受法新社專訪
      1 法新社提供	中央社台北25日綜合報導
      1 法新社專訪	蔡總統
      1 法新社專訪	自剖遭性別歧視經歷
      1 沾血衛生紙窗口求救	江啟臣號召贈米
      1 油管大爆炸已釀66死	墨西哥總統誓言根除竊油
      1 沃旭能源停止執行合約	離岸風電卡關始末
      1 沃旭合約暫喊卡	能源局
      1 沃旭停止執行合約	彰縣府
      1 江啟臣號召贈米	愛心送暖到山城
      1 民粹主義正在席捲世界	教育新南向
      1 正常商業模式	台灣新創團隊CES傳捷報
      1 歐股勁揚	美中可能達成貿易協議
      1 櫃買審議通過台灣生醫材料上櫃案	美股聚焦企業財報
      1 檢方提起公訴	地方
      1 樂觀中美貿易談判進展	美股連4漲
      1 極道千金在台開拍	演藝生涯長達70年
      1 根本沒有108道菜色	澳網選手盡情揮拍
      1 根本沒有108道菜色	兩岸
      1 核稿	劉學源
      1 柯文哲談軍購	經濟不夠強就雪上加霜
      1 林青霞滾滾紅塵接棒	Netflix第2部華語原創影集
      1 東莒島上無養豬場	台南再傳虐童
      1 本網站使用相關技術提供更好的閱讀體驗	同時尊重使用者隱私
      1 期未完成修法	同性婚姻將自動合法
      1 朝聖班克西	不能錯過英國小鎮布里斯托
      1 最新更新	2018
      1 更多編輯台推薦新聞	總統臉書尺度大開
      1 是對能源局喊話	移工遭軟禁施虐
      1 星國國際網球總會賽事	陳佩萱吳芳嫺奪亞軍
      1 日本語版	フォーカス台湾
      1 日本桌球界大功臣	福原愛挺大肚獲獎
      1 日搭載7枚衛星火箭升空	人工流星可望成真
      1 旅客違規攜帶肉品	徐國勇
      1 施壓立法院做出決定	但大法官釋憲後歷時一年多
      1 新聞學院	全球中央雜誌
      1 新的一年20天內	中國海警3度巡航釣魚台
      1 新派駐港人員	陸委會
      1 新北精障男子	涉嫌以電線勒斃母親
      1 文化	運動
      1 文化	班克西開圍牆飯店
      1 文化	班克西畫作讓屋主壓力大
      1 文化	文化
      1 數位專題	特派看世界
      1 教育新南向	他們正悄悄改變台灣校園
      1 政治	總統臉書尺度大開
      1 政治	張惇涵加入總統府團隊
      1 政治	國際
      1 政府必須遵守大法官的裁決	譯者
      1 政府	將會致力化解針對這項議題的社會分歧
      1 改善內控問題	台股下週或有高點
      1 搶農曆新年換機潮	自恐龍時代至今
      1 提防美股拉回及封關賣壓	樂觀中美貿易談判進展
      1 推進既有合作	人權觀察
      1 探測月球	華為三星強打大螢幕
      1 指紐約警局使用中國臉部識別	南華早報遭打臉
      1 抖音國際版改隱私條款	刪用戶數據傳回中國
      1 手比愛心要大家別擔心	霸王別姬掀懷舊片熱潮
      1 手指從螢幕左側邊緣往右滑	我知道了
      1 我知道了	更多編輯台推薦新聞
      1 我愛紅娘女星卡洛香寧辭世	專題
      1 感謝您訂閱中央社國際新聞電子報	點擊訂閱中央社國際電子報
      1 感謝您訂閱中央社國際新聞電子報	在各種裝置瀏覽新聞
      1 愛沙尼亞E化立國	訊息平台
      1 愛心送暖到山城	募貧困童獎助學金
      1 意外發現土星環很年輕	工研院看5G
      1 德國巴伐利亞邦副議長也按讚	蘇貞昌網路聲量翻紅
      1 徵旅遊上岸稅	經濟壓力心空虛
      1 徐國勇	3天共查獲669件
      1 律師開庭後遭毆	律師全聯會聲明譴責
      1 律師全聯會聲明譴責	中國海漂死豬驗出非洲豬瘟
      1 影音	管理城隍廟
      1 影音	新聞學院
      1 影像空間	客戶頻道
      1 彰縣府	是對能源局喊話
      1 延伸閱讀	談同性婚姻修法
      1 延伸閱讀	傳教宗告訴同志
      1 廖峻傳小中風	手比愛心要大家別擔心
      1 幕後操刀型男大叔曝光	不能接受沒有滷肉飯
      1 幕後推手是八年級女生	破解迷思
      1 幕後推手是八年級女生	政治
      1 幕後26位穿線師功不可沒	運動
      1 幕後26位穿線師功不可沒	班克西畫作讓屋主壓力大
      1 帶兩隻流浪狗去美國	陳偉殷關懷動物保育
      1 席德進40件水彩真跡	20日起台東美學館展出
      1 市府對保母提獨立告訴	被控廣告毀損對手名譽
      1 工研院看5G	2019年從試驗轉向商業化
      1 工作細胞寓教於樂	血小板萌音現聲動漫節
      1 川普期中考成績得幾分	又一個小川普當選
      1 崇越拿勝延長戰線	星國國際網球總會賽事
      1 屏東縣議員當選人林采穎涉賄	檢方提起公訴
      1 屏東33鄉鎮市花燈車迎遊行	高雄平潭農漁貨輪首航
      1 小行星撞地球頻率增加	日搭載7枚衛星火箭升空
      1 對於政府是否會積極推動快速修法	則態度不明朗
      1 對同性婚姻看法不同	最新更新
      1 對台灣最好決策	國際
      1 專題	2018新聞現場
      1 將會致力化解針對這項議題的社會分歧	以提出全面性法案
      1 將擔任發言人	張惇涵加入總統府團隊
      1 將擔任發言人	外交部
      1 寒單回台東催票房	胡宇威喊破5億元再上轎炸一次
      1 寒假開始	蘇貞昌號召相挺台灣動畫片貓影特工
      1 寒假動漫節起跑	主辦估人潮有望破40萬
      1 客服專線	0800
      1 客服信箱	services
      1 客戶頻道	訊息平台
      1 完工後產能可望倍增	神準新廠上半年動工
      1 完工後產能可望倍增	櫃買審議通過台灣生醫材料上櫃案
      1 安全性大不同	中美攜手合作
      1 安倍辦生效紀念典禮	川普
      1 安倍辦生效紀念典禮	人倫悲劇男以電線勒斃母
      1 娛樂	貓影特工拳腳護市民
      1 娛樂	數位專題
      1 威尼斯七月起	徵旅遊上岸稅
      1 姜建銘爆米花冠軍賽當英雄	崇越拿勝延長戰線
      1 妻控當局拖延	陝西官場持續地震
      1 好生活	首頁
      1 好生活	影像空間
      1 她認為	不同世代的台灣人對同性婚姻有不同看法
      1 她告訴法新社	同性婚姻也反映出世代差距
      1 天主如此造你	也愛如此的你
      1 大福彩第108006期開獎	雙贏彩第108017期開獎
      1 大福彩第108006期	頭獎摃龜
      1 大法官並裁決相關機關應在2年內完成修法	若逾
      1 大同	違法陸資干擾運作
      1 夜宿育幼院送暖	韓國瑜
      1 外國人歸化台灣籍	30年來印尼越南為大宗
      1 外交部	台灣符合加入CPTPP標準
      1 墨西哥總統誓言根除竊油	開普敦桌山纜車遊客
      1 地點選定	違反停火協定次數創新高
      1 地點選定	主導CPTPP
      1 地機族	訂閱中央社國際新聞電子報
      1 地方	澎湖與夏威夷加強交流
      1 地方	文化
      1 在各種裝置瀏覽新聞	看更多產品
      1 在台灣	40歲以上的人跟40歲以下的人看法不同
      1 國際	台灣小提琴神童曼谷演出
      1 國際	兩岸
      1 嘉惠國家整體	谷底翻身
      1 吳敦義	九二共識
      1 同時尊重使用者隱私	點這裡瞭解中央社隱私聲明
      1 同性婚姻將自動合法	倡議人士希望蔡總統能在2年期限前
      1 同性婚姻也反映出世代差距	在台灣
      1 同性伴侶還在等待結為連理	蔡總統今天接受法新社專訪
      1 同婚釋憲是改革的	一個階段
      1 合庫林加祐不會完全退下	當教練複雜選手好玩
      1 司法院大法官釋憲支持同性婚姻合法化	台灣成為全亞洲第一個以法律保障同性婚姻的國家
      1 台股下週或有高點	提防美股拉回及封關賣壓
      1 台爭取加入CPTPP	首次委員會主席
      1 台灣符合加入CPTPP標準	盼各國支持
      1 台灣燈會表演逾百場	首創水上劇場
      1 台灣燈會倒數	屏東33鄉鎮市花燈車迎遊行
      1 台灣滷肉飯美味	德國巴伐利亞邦副議長也按讚
      1 台灣新創團隊CES傳捷報	獲全球商機逾55億元
      1 台灣成為全亞洲第一個以法律保障同性婚姻的國家	大法官並裁決相關機關應在2年內完成修法
      1 台灣不能放棄	法新社專訪
      1 台啤擊退台銀	半數NBA球隊
      1 台南再傳虐童	市府對保母提獨立告訴
      1 反對同性婚姻合法化	並指控法院在這個議題上繞過政府
      1 又一個小川普當選	民粹主義正在席捲世界
      1 去年大法官釋憲為台灣同性結為連理鋪路	總統蔡英文今天接受法新社專訪時
      1 即時	聚焦
      1 即時	玻利維亞高地平原兩巴士迎面對撞
      1 印度旅遊市場大	臺攻高所得客群
      1 印度反總理大型集會	警方估50萬人參加
      1 南華早報遭打臉	產經
      1 南台中家扶差百萬元缺口	文化
      1 半數NBA球隊	舉辦慶祝農曆新年活動
      1 化粧品宣稱醫療效能	5月起最重開罰5百萬
      1 募貧困童獎助學金	南台中家扶差百萬元缺口
      1 助選民進黨候選人	台灣燈會倒數
      1 加班費這麼算	生活
      1 加班費這麼算	本網站使用相關技術提供更好的閱讀體驗
      1 劉學源	1070625
      1 副省長陳國強被帶走	指紐約警局使用中國臉部識別
      1 則態度不明朗	2017年5月
      1 刪用戶數據傳回中國	新派駐港人員
      1 兩岸	破解迷思
      1 兩岸	產經
      1 兩岸	北京故宮
      1 全球中央雜誌	好生活
      1 全民公投時代	影音
      1 內政部籲防範非洲豬瘟	吳敦義
      1 優酷宣布全站關閉播放量顯示	廖峻傳小中風
      1 傳教宗告訴同志	天主如此造你
      1 傳將遭歐盟否決	沃旭合約暫喊卡
      1 倡議人士希望蔡總統能在2年期限前	施壓立法院做出決定
      1 保守團體舉行過大規模抗議	反對同性婚姻合法化
      1 俄公司計畫引爭議	研究
      1 俄公司計畫引爭議	人造衛星夜空打廣告
      1 供稱仿電視情節	新北精障男子
      1 供稱仿電視情節	川普
      1 供稱仿電視情節	人倫悲劇男以電線勒斃母
      1 但大法官釋憲後歷時一年多	同性伴侶還在等待結為連理
      1 以提出全面性法案	她認為
      1 代表您同意上述規範	Your
      1 他們正悄悄改變台灣校園	全民公投時代
      1 今彩539第108017期開獎	化粧品宣稱醫療效能
      1 今彩539第108017期	頭獎3注中獎
      1 人權觀察	中國加強人權壓制
      1 人工流星可望成真	NASA太空船墜前最後貢獻
      1 二審駁回確定	律師開庭後遭毆
      1 也愛如此的你	地機族
      1 九二共識	對台灣最好決策
      1 主辦估人潮有望破40萬	台灣燈會表演逾百場
      1 中美攜手合作	探測月球
      1 中央通訊社版權所有	p
      1 中央社台北25日綜合報導	去年大法官釋憲為台灣同性結為連理鋪路
      1 中國維權律師余文生被捕週年	妻控當局拖延
      1 中國狗明星	藉科技複製分身
      1 中國海警3度巡航釣魚台	抖音國際版改隱私條款
      1 中國海漂死豬驗出非洲豬瘟	東莒島上無養豬場
      1 中國教長要為老師減負	中國維權律師余文生被捕週年
      1 中國加強人權壓制	達六四以來最嚴重
      1 並指控法院在這個議題上繞過政府	蔡總統說
      1 不能錯過英國小鎮布里斯托	寒假動漫節起跑
      1 不能接受沒有滷肉飯	內政部籲防範非洲豬瘟
      1 不會搶飯碗	華為和iPhone同在中國製造
      1 不會搶飯碗	政治
      1 不同世代的台灣人對同性婚姻有不同看法	她告訴法新社
      1 不同世代	對同性婚姻看法不同
      1 上一頁	____________________
      1 一個階段	政府必須遵守大法官的裁決
      1 フォーカス台湾	に移動しますか
      1 に移動しますか	Se
      1 こちらのページは繁体字版です	日本語版
      1 Your	browser
      1 you	like
      1 www	googletagmanager
      1 Would	you
      1 website	Focus
      1 web	de
      1 WCLJ4Q5	這樣回上一頁
      1 usted	usa
      1 usa	no
      1 tw	copyright
      1 Traditional	Chinese
      1 tradicional	Por
      1 to	support
      1 to	go
      1 to	CNA
      1 Taiwanフォーカス台湾Espanol	上一頁
      1 Taiwan	こちらのページは繁体字版です
      1 support	Traditional
      1 services	mail
      1 Se	detecta
      1 s	English
      1 que	usted
      1 que	el
      1 Por	favor
      1 Página	web
      1 p	c1
      1 ns	html
      1 not	appear
      1 no	es
      1 Netflix第2部華語原創影集	極道千金在台開拍
      1 NASA太空船墜前最後貢獻	意外發現土星環很年輕
      1 MeToo運動	延伸閱讀
      1 mail	cna
      1 like	to
      1 la	Página
      1 intente	entrar
      1 IFRAME	https
      1 idioma	que
      1 id	GTM
      1 https	www
      1 html	id
      1 GTM	WCLJ4Q5
      1 googletagmanager	com
      1 go	to
      1 Focus	Taiwanフォーカス台湾Espanol
      1 Focus	Taiwan
      1 favor	intente
      1 Español	好生活
      1 es	el
      1 entrar	en
      1 English	website
      1 en	la
      1 el	idioma
      1 el	carácter
      1 does	not
      1 detecta	que
      1 de	Español
      1 cv	2
      1 copyright	中央通訊社版權所有
      1 com	tw
      1 com	ns
      1 CNA	s
      1 cna	com
      1 cj	1
      1 chino	tradicional
      1 Chinese	Would
      1 carácter	chino
      1 c2	16827998
      1 c1	2
      1 browser	does
      1 appear	to
      1 688	客服信箱
      1 5月起最重開罰5百萬	社會
      1 40歲以上的人跟40歲以下的人看法不同	保守團體舉行過大規模抗議
      1 400萬元售出	春節連假出勤
      1 400萬元售出	文化
      1 3天共查獲669件	柯文哲談軍購
      1 30年來印尼越南為大宗	台灣滷肉飯美味
      1 256	688
      1 25	23
      1 23	14
      1 20日起台東美學館展出	運動
      1 2019年從試驗轉向商業化	生活
      1 2018新聞現場	請回答1978
      1 2018新聞現場	2018新聞現場
      1 2018九合一選舉	金馬獎看華語電影史
      1 2018	06
      1 2017年5月	司法院大法官釋憲支持同性婚姻合法化
      1 2	c2
      1 2	0
      1 16強對戰小威	球后哈勒普有迎接苦戰準備
      1 16827998	cv
      1 14	總統蔡英文25日接受法新社專訪
      1 108道是演繹的	新的一年20天內
      1 108道是演繹的	北京故宮
      1 1070625	法新社專訪
      1 1	
      1 0800	256
      1 06	25
      1 0	cj
      1 ____________________	即時
